ID,Game,Total Runs
598066,PK vs MI [2013],300
829733,PK vs KKR [2015],299
1254076,RCB vs CSK [2021],299
419131,KKR vs DC [2010],299
392211,KKR vs DC [2009],299
392181,MI vs CSK [2009],299
501200,RCB vs KTK [2011],299
1304116,SRH vs PK [2022],299
548362,RCB vs PW [2012],298
1359486,MI vs CSK [2023],298
336034,RCB vs DeC [2008],298
1216500,RR vs DC [2020],298
548352,DeC vs CSK [2012],298
1175368,PK vs DC [2019],298
548330,PW vs CSK [2012],298
392235,MI vs DC [2009],298
1359483,RCB vs KKR [2023],298
1254096,MI vs KKR [2021],298
1304079,MI vs CSK [2022],298
501203,KKR vs DeC [2011],298
733977,SRH vs RCB [2014],298
1426289,MI vs KKR [2024],297
1426287,PK vs CSK [2024],297
392192,MI vs DeC [2009],297
336023,RR vs RCB [2008],297
501236,DeC vs CSK [2011],297
734025,PK vs MI [2014],297
548311,DeC vs CSK [2012],297
1254082,KKR vs DC [2021],297
729295,SRH vs PK [2014],297
392206,DC vs CSK [2009],296
548359,PK vs DeC [2012],296
501221,MI vs CSK [2011],296
1136598,RR vs PK [2018],296
598008,RCB vs KKR [2013],296
1082646,RCB vs DC [2017],296
1216534,SRH vs RCB [2020],296
548312,RR vs KKR [2012],296
1304090,RR vs MI [2022],296
501209,RR vs KKR [2011],296
1216505,RCB vs DC [2020],296
598063,RR vs MI [2013],295
1216510,RCB vs PK [2020],295
734037,SRH vs KKR [2014],295
419141,RR vs DeC [2010],294
1216543,RR vs DC [2020],294
501264,PK vs DeC [2011],294
829785,RCB vs PK [2015],294
548343,PK vs CSK [2012],294
1426285,KKR vs DC [2024],293
598035,PW vs DC [2013],293
419134,RR vs DC [2010],293
1216504,RR vs KKR [2020],293
501198,KKR vs CSK [2011],293
548377,RR vs MI [2012],293
548354,RR vs PK [2012],293
1426266,LSG vs KKR [2024],293
1216539,DC vs CSK [2020],293
1178397,SRH vs PK [2019],292
1136616,PK vs CSK [2018],292
1082609,SRH vs PK [2017],292
829783,MI vs DC [2015],292
1304064,RCB vs MI [2022],292
1304061,LSG vs DC [2022],292
598013,SRH vs KKR [2013],292
419122,MI vs KKR [2010],292
980919,RSP vs PK [2016],292
419143,RR vs PK [2010],292
598016,PK vs KKR [2013],292
1359530,RR vs KKR [2023],292
392237,DeC vs DC [2009],291
548345,RR vs DC [2012],291
1216506,PK vs CSK [2020],291
419165,MI vs CSK [2010],291
1216495,SRH vs MI [2020],291
598049,RR vs DC [2013],291
419150,RR vs MI [2010],291
1136591,RCB vs MI [2018],291
1136600,RR vs PK [2018],291
336026,RCB vs DC [2008],291
1426291,PK vs CSK [2024],291
1216532,SRH vs DC [2020],291
1216540,RCB vs KKR [2020],291
501224,MI vs DeC [2011],290
1254103,RR vs RCB [2021],290
1426290,RCB vs GT [2024],290
501227,RCB vs DC [2011],290
1178400,RR vs CSK [2019],290
980961,GL vs DC [2016],290
1136613,RR vs RCB [2018],290
419119,RCB vs MI [2010],290
392207,PK vs KKR [2009],290
1216520,PK vs KKR [2020],290
981013,RCB vs GL [2016],290
501257,PK vs DC [2011],290
733997,PK vs KKR [2014],290
1178393,PK vs CSK [2019],289
1136588,SRH vs RR [2018],289
335994,MI vs DeC [2008],289
1254064,RR vs DC [2021],289
419132,PK vs MI [2010],289
419118,RR vs KKR [2010],289
1082647,RSP vs MI [2017],288
829797,RR vs CSK [2015],288
1304074,SRH vs PK [2022],288
548365,RR vs PW [2012],288
1359492,PK vs GT [2023],288
548378,KKR vs DC [2012],288
1304057,PK vs CSK [2022],288
1082598,RCB vs PK [2017],288
1082595,RCB vs DC [2017],288
829781,SRH vs KKR [2015],288
1426265,RR vs PK [2024],288
548313,PW vs PK [2012],287
1304081,KKR vs GT [2022],287
981015,SRH vs KKR [2016],287
336015,RR vs DC [2008],287
980981,RCB vs MI [2016],287
1136567,SRH vs MI [2018],286
1359533,PK vs DC [2023],286
597999,RCB vs MI [2013],286
1304093,RR vs KKR [2022],286
1304110,PK vs DC [2022],286
1426303,RR vs PK [2024],286
336018,MI vs CSK [2008],286
734043,PK vs KKR [2014],286
501242,KTK vs KKR [2011],286
336027,RR vs KKR [2008],285
501240,RR vs CSK [2011],285
598067,PW vs DC [2013],285
392208,RCB vs MI [2009],285
1216526,MI vs KKR [2020],285
1181768,MI vs CSK [2019],285
1304107,SRH vs KKR [2022],285
501269,MI vs KKR [2011],285
335991,PK vs MI [2008],284
392238,RCB vs CSK [2009],284
392194,RCB vs DC [2009],284
1216544,RCB vs CSK [2020],284
1178395,RCB vs DC [2019],284
419106,KKR vs DeC [2010],284
598015,PW vs CSK [2013],284
598062,DC vs CSK [2013],284
548310,RCB vs DC [2012],284
1216525,RCB vs CSK [2020],284
1175370,MI vs CSK [2019],283
729299,RCB vs KKR [2014],283
1136609,RR vs KKR [2018],283
501252,RR vs RCB [2011],282
1178409,MI vs DC [2019],282
501204,RR vs DC [2011],282
1175360,DC vs CSK [2019],282
980983,SRH vs DC [2016],282
1359488,SRH vs PK [2023],282
